English,Akuapem Twi
He carried out his mission very well.,Ɔyɛɛ n'adwuma no yiye.
In order to qualify for the homestay you must have an interview with the sponsors.,"Nea ɛbɛyɛ na woatumi afata ama fie mmere a wode bɛtra hɔ no, ɛsɛ sɛ wo ne wɔn a wɔde mmoa ma no susuw nsɛm ho."
When was the last time you cried?,Bere bɛn na woteɛɛm?
Every even number is the sum of two primes.,Aman atitiriw abien mpo na wɔka bom yɛ dodow biara.
Even intelligent people are sometimes absent-minded.,"Ɛtɔ mmere bi a, nnipa a wonim nyansa mpo adwene nsi wɔn pi."
The engine wouldn't start.,Ná engine no remfi ase.
Kwaku can't control his children.,Kwaku ntumi nni ne mma so.
I'll ask when the train will get in.,Mɛsan abisa bere a keteke no bɛkɔ mu.
Something has happened to this clock.,Biribi asi saa dɔn yi mu.
Now we can all relax.,"Seesei de, yɛn nyinaa betumi agye yɛn ahome."
Can you walk with your eyes closed?,So wubetumi ne w'aniwa anantew?
You look European.,Wohwɛ Europa.
Kwaku loosened his collar.,Kwaku twitwaa ne kɔn mu.
I have to mow the lawn once a week.,Ɛsɛ sɛ metow sare no biako so pɛnkoro dapɛn biara.
I need to learn French.,Ehia sɛ misua Franse kasa.
Kwaku served two months in jail for drunken driving.,Wɔde Kwaku too afiase asram abien esiane karka bebrebe nti.
Kwaku wanted to spend the rest of his life in America.,Ná Kwaku pɛ sɛ ɔde ne nkwa nna a aka nyinaa tra Amerika.
This is not true.,Eyi nyɛ nokware.
Never let me go.,Mma me nkɛda.
Kwaku should do the same.,Ɛsɛ sɛ Kwaku nso yɛ saa ara.
I am listening to a song.,Meretie dwom bi.
He's sitting on the fence.,Ɔte ban no ho.
Kwaku rinsed the shampoo out of his hair.,Kwaku yii ntama no fii ne tirim.
It's outdated.,Bere atwam.
Please sign your name on the contract.,Yɛsrɛ sɛ fa wo din hyɛ nhyehyɛe no mu.
Some people keep rare animals as pets.,Nnipa binom yɛ mmoa a wɔn ho yɛ nã te sɛ nyɛmmoa.
I think it will be fine.,Misusuw sɛ ɛbɛyɛ papa.
I barely have enough money for groceries.,Ɛkame ayɛ sɛ mewɔ sika pii a mede bɛtɔ nnuan.
Don't slam the door.,Nnka ɛpɛn no mbom.
Kwaku spilled his drink.,Kwaku nom nsã pii.
What do you want me to say?,Dɛn na wopɛ sɛ meka?
You should write down whatever seems to be important.,Ɛsɛ sɛ wokyerɛw biribiara a wususuw sɛ ɛho hia.
Kwaku died just a few hours after Abena died.,Kwaku wui bere a Abena wui akyi nnɔnhwerew kakraa bi no.
We associate the name of Einstein with the theory of relativity.,Yɛde atomdi ho nkyerɛkyerɛ no bata atom a wɔbɔ no ho.
"Since I was tired, I took a nap.","Esiane sɛ na mabrɛ nti, medaa."
Does Kwaku like Abena?,So Kwaku Te sɛ Abena?
That's life.,Ɛno ne asetra.
Who did you see?,Hena na wuhui?
Kwaku remembered all the details.,Kwaku kaee nsɛm no nyinaa.
I got up early to catch the first train.,Minyinii ntɛm koyii keteke a edi kan no.
My grandpa believes that the moon landing was a hoax.,Ná me nanabarima no gye di sɛ ɔsram a ebesiw no yɛ hu yiye.
Kwaku is the person to ask.,Kwaku na ɛsɛ sɛ obisa no.
Kwaku faces a dilemma.,Ɛyɛ den ma Kwaku.
Kwaku goes to church on Sunday morning.,Kwaku kɔ asɔre Kwasida anɔpa.
I wanna go to Japan.,Mepɛ sɛ mekɔ Japan.
This isn't fair.,Eyi nyɛ nokware.
He's not as strong as before.,Ɔnyɛ den sɛ kan no.
"In spite of the fact that she's rich, she says she's poor.","Ɛmfa ho sɛ ɔyɛ ɔdefo no, ɔka sɛ odi hia."
Are you closer to your mother or to your father?,So wobɛn wo maame anaa wo papa paa?
Kwaku did a good job.,Kwaku yɛɛ adwuma pa.
I'm a bit drunk. I think I should stop drinking now.,"Ɛyɛ a menom nsa kakra, na misusuw sɛ ɛsɛ sɛ migyae asanom seesei."
The man you saw in my office yesterday is from Belgium.,Ɔbarima a wuhuu no wɔ m'adwumam Dwoda no fi Belgium.
You are not to leave this room without my permission.,Ɛnsɛ sɛ wufi dan yi mu bere a merema me kwan.
We saw another ship far ahead.,Yehuu hyɛn foforo wɔ akyirikyiri.
Please give my regards to your father.,"Mesrɛ wo, kyea wu papa mame."
Don't you want me to keep it?,So wompɛ sɛ mema ɛtra hɔ?
Kwaku and Abena are both present.,Kwaku ne Abena nyinaa wɔ hɔ.
The king is coming.,ɔhene no reba.
She was on the verge of crying.,Ná ɔreyɛ asu.
I don't have any money at all.,Minni sika koraa.
Kwaku didn't know Abena was dating John.,Ná Kwaku nnim se John ne Abena ayɛ aware nhyehyɛe.
Put it over there.,Fa gu hɔ.
We persuaded him not to go.,Yɛhyɛɛ no nkuran sɛ ɔnkɔ.
"Hey, you're not Kwaku.","Nea ɛyɛ nwonwa no, wonyɛ Kwaku."
Kwaku knows Abena pretty well.,Kwaku nim Abena fɛfɛ no yiye.
Kwaku took his socks off.,Kwaku yii sɔks no fii hɔ.
I learned a lot this week.,Misuaa nneɛma pii dapɛn yi.
I thought you were good at math.,Ná misusuw sɛ woyɛ onipa pa wɔ akontaabu mu.
"Turn on the radio, please.","Yɛsrɛ wo, ma radio no nkɔ soro."
I want to know how you know that.,Mepɛ sɛ mihu nea ɛma wuhu saa.
It was difficult to persuade him to change his mind.,Ná ɛyɛ den sɛ ɔbɛma wasesa n'adwene.
Is everybody happy?,So obiara ani gye?
"At last, she solved the problem.","Awiei koraa no, odii ɔhaw no ho dwuma."
We have something very important that we need to discuss.,Yɛwɔ biribi a ɛho hia paa a ɛsɛ sɛ yesusuw ho.
We'll meet at 3:00 p.m.,Behyiam awia 3:00.
Don't leave the fire unattended.,Nnyaw ogya no.
I ran into a deer.,Mituu mmirika kɔɔ ɔforote bi mu.
I'm very busy so don't count on me.,Minni adagyew koraa ma enti memfa me ho nto me so.
They help us.,Ɛboa yɛn.
Have you ever milked a cow?,So wonam nantwi nufusu pɛn?
I am injured.,Ɛhaw me.
Did you know that Kwaku got married last week?,So wunim sɛ Kwaku waree dapɛn a etwaam no?
The teacher scolded the student for no reason.,Ɔkyerɛkyerɛfo no kaa osuani no anim a ntease biara nnim.
I know Kwaku was unhappy.,Minim sɛ na Kwaku nni anigye.
They often say that life is short.,Wɔtaa ka sɛ nkwa yɛ tiaa.
He built hospitals and helped the people of Africa improve their lives.,Osisii ayaresabea ahorow na ɔboaa nnipa a wɔwɔ Afrika no ma wonyaa nkɔso wɔ wɔn asetra mu.
You don't have to worry about funds.,Ɛnsɛ sɛ woma sika ho asɛm haw wo.
Does your stomach hurt?,So wo yafunu yɛ wo yaw?
I can't believe Kwaku isn't here.,Mintumi nnye nni sɛ Kwaku nni ha.
This girl is the most intelligent.,Abeawa yi na onim nyansa sen biara.
Here's a problem for you.,Eyi yɛ asɛnnennen ma wo.
"He isn't here, is he?","Onni ha, ɛnte saa?"
The price of coffee has come down.,Aduan bo so atew.
Kwasi thought about Abena a lot.,Kwasi susuw Abena ho yiye.
The boss had to advance him some money.,Ná ɛsɛ sɛ adwumam panyin no ma onya sika.
Non-members pay an additional 50 dollars.,Wɔn a wɔnyɛ saa no tua dɔla 50 aka ho.
What language is spoken in Egypt?,Kasa bɛn na wɔka wɔ Misraim?
This is what I can do for you.,Eyi na metumi ayɛ ama wo.
You are both in the wrong.,Mo baanu nyinaa adi mfomso.
Dad painted the walls white.,Paapa kaa afasu no ho fitaa.
Here I am again.,Mɛsan aba bio.
Kwasi explained it to Abena very carefully.,Kwasi kyerɛkyerɛɛ mu yiye kyerɛɛ Abena.
Don't touch the flowers.,Mfa wo nsa nka nhwiren no.
He isn't able to drive a car.,Ontumi nka kar.
The faucet is dripping.,Wontumi mfa aduru no nni dwuma yiye.
She pleaded with him to not leave.,Ɔsrɛɛ no sɛ omfi hɔ.
Do you know what he did?,Wunim nea ɔyɛe?
Even the richest man cannot buy everything.,Onipa a ɔyɛ ɔdefo mpo ntumi ntɔ biribiara.
Kyiv is the capital of Ukraine.,Kyiv yɛ Ukraine ahenkurow.
Kwasi has a private jet.,Kwasi wɔ wimhyɛn ankasa.
Kwasi has two girlfriends who don't know about each other.,Kwasi wɔ nnamfo baanu a wonnim wɔn ho wɔn ho.
Kwasi needs a change of scenery.,Kwasi hia nneɛma a atwa yɛn ho ahyia mu nsakrae.
She is on a diet to lose weight.,Odi aduan a ɛbɛma ne so atew.
She was stupid to make such a mistake.,Ná onnim nyansa sɛ obedi mfomso a ɛte saa.
We never go to bed before midnight.,Yɛnna da ansa na ade asa.
Those are mine.,Eyinom yɛ me dea.
They kidnapped me.,Wɔkyeree me siei.
I think what you're doing is dangerous.,Misusuw sɛ nea woreyɛ no yɛ hu.
I love your dress.,M'ani gye wo ntadehyɛ ho.
"Five gallons of regular, please.","Yɛsrɛ wo, bɔ mmɔden sɛ wubenya lita anum daa."
His explanation that a solution would take time didn't satisfy anyone.,Ne nkyerɛkyerɛmu a ɛne sɛ ebegye bere ansa na wɔatumi adi ɔhaw no ho dwuma no amma obiara annya abotɔyam.
I think I still have time for another cup of coffee.,Misusuw sɛ meda so ara wɔ bere ma kɔfe kuruwa foforo.
He told his mother that he would study the next day.,"Ɔka kyerɛɛ ne maame sɛ ade kyee no, obesua ade."
My driving instructor says I should be more patient.,Ɔkyerɛkyerɛfo a ɔkyerɛ me karka no ka sɛ ɛsɛ sɛ minya abotare kɛse.
People living in this area are dying because of the lack of water.,"Esiane sɛ nnipa a wɔte saa no nni nsu nti, wowuwu."
We were born on the same day.,Wɔwoo yɛn saa da no ara.
My nose is bleeding.,Mogya retu me hwene.
Kwasi is unscrupulous.,Kwasi yɛ ɔdaadaafo.
"Being poor, he can't buy it.","Esiane sɛ ɔyɛ ohiani nti, ontumi ntɔ."
He arrived after the bell rang.,Oduu hɔ bere a dɔn no bɔe no.
The grass is always greener on the other side of the fence.,Sare no yɛ ahabammono bere nyinaa wɔ ban no fã foforo.
She met him this morning.,"Anɔpa yi, ohyiaa no."
I've clean forgotten.,Me werɛ afi ade yiye.
The film was inspired by the novel of the same title.,Saa asɛmti koro no ara ho ayɛsɛm na ɛkanyan sini no.
What I need is another cup of coffee.,Ade foforo a mihia ne kɔfe kuruwa foforo.
It's right in front of your eyes.,Ɛwɔ w'anim pɛɛ.
I'll be here when you get back.,"Sɛ wosan ba ha a, mɛba."
I'd like to think so.,M'ani begye ho sɛ mesusuw saa.
The results were good.,Aba pa fii mu bae.
Kwasi is young and strong.,Kwasi yɛ abofra na ɔyɛ den.
Kwasi isn't married anymore.,Kwasi nyɛ ɔwarefo bio.
Kwasi is taking the day off today.,"Ɛnnɛ, Kwasi ayi da no afi hɔ."
Most children like to jump rope.,Mmofra dodow no ara pɛ sɛ wohuruw denneennen.
I couldn't have done this without you.,"Sɛ ɛnyɛ wo a, anka mintumi nyɛ eyi."
They are watching what's happening closely.,Wɔrehwɛ nea ɛrekɔ so no yiye paa.
Don't tell me to relax.,Nka nkyerɛ me sɛ me ho ntɔ me.
When do you usually get up?,Bere bɛn na wotaa sɔre?
"May I go with you? ""Of course.""","So metumi ne wo akɔ? """
There's no danger.,Asiane biara nnim.
That's the worst thing that could possibly happen.,Ɛno ne ade a enye koraa a ebetumi asi.
I cannot disclose any information about the informant.,Mintumi nka nea ɔreka ne ho asɛm no ho asɛm biara nkyerɛ afoforo.
Kwasi thought that Abena would like to go to Boston to see John.,Kwasi susuwii sɛ Abena bɛpɛ sɛ ɔkɔ Boston kɔhwɛ John.
She has not come here yet.,Ɔbaa ha.
Kwasi and Abena adopted John.,Kwasi ne Abena gyee John toom.
He betrayed his friends for money.,Oyii ne nnamfo mae sɛ wɔmma no sika.
What you are saying does not make sense.,Ntease nni nea woreka no mu.
Dry wood burns well.,Dua a ayɛ hyew yiye.
"Yesterday at this time, we were at the movie theater.","Eduu saa bere yi no, na yɛwɔ sinidan mu."
Read the story aloud.,Kenkan asɛm no den.
I heard that Kwasi is going to Boston.,Metee sɛ Kwasi rekɔ Boston.
A massive flood paralyzed the local transportation network.,Nsuyiri kɛse bi sɛee ɛhɔnom akwantu nhyehyɛe no.
He dyed his hair black.,Ɔhyɛɛ ne ti nhwi tuntum.
He was underwater for three minutes.,Ɔkɔɔ nsu ase simma abiɛsa.
When did they go?,Bere bɛn na wɔkɔe?
What's Kwasi's shoe size?,Dɛn ne Kwasi mpaboa kɛse?
Who is the tallest of the five?,Hena ne nnipa baanum no mu hena a ɔsen biara?
No one believed me at first.,"Mfiase no, obiara ngye mendi."
The dog is smart.,ɔkraman no nim nyansa.
Kwasi paused.,"Kwasi kae sɛ: ""Ɛyɛ den paa."
I don't care for wine.,Mennwen mmosa ho.
Kwasi is a real gentleman.,Kwasi yɛ ɔbarima ankasa.
We're listening.,Yɛretie asɛm no.
I assure you this is the real thing.,Migye di sɛ eyi ne ade ankasa.
Let's wait for another 5 minutes.,Ma yɛntwɛn simma 5 bio.
It was difficult for us to decide which one to buy.,Ná ɛyɛ den ma yɛn sɛ yebesi nea ɛsɛ sɛ yɛtɔ ho gyinae.
I love the fact that you always seem to care so much.,M'ani gye nokwasɛm a ɛyɛ sɛ ɛte sɛ nea wudwen afoforo ho kɛse bere nyinaa no ho.
It's quite possible.,Ebetumi ayɛ yiye.
We meet every Monday night.,Ná yehyiam Dwoda anadwo biara.
His aunt looks young.,Ne maame nuabea no te nka sɛ osua.
The almond trees are in bloom.,Nnua a ɛsow aba.
Mercury is the planet nearest to the sun.,Asase no bɛn owia no pɛɛ.
You have a tendency to talk too fast.,Wotaa kasa ntɛmntɛm.
This is the best restaurant I know of.,Eyi ne adidibea a eye sen biara a minim.
Nice shot!,Ná ɛyɛ hu paa!
There isn't anyone here.,Obiara nni ha.
I'll reward you.,Mɛhyira wo.
She was very rude to him.,Ná ommu no koraa.
People shouldn't abuse animals.,Ɛnsɛ sɛ nkurɔfo yɛ mmoa basabasa.
I can't do that without a little help.,Mintumi nyɛ saa a mmoa nka ho.
She is carrying a backpack on her back.,Ɔde ne nsa ato n'akyi.
Our office is located in the center of the town.,Yɛn dwumadibea no wɔ kurow no mfinimfini.
"The Democrats haven't decided on their candidates yet, but in any case they're sure to lose.","Democras no nsii gyinae wɔ wɔn a wɔrebɛbɔ afɔre no ho, nanso ɔkwan biara so no, wobedi nkogu ɔkwan biara so."
Kwasi is reading the Bible.,Kwasi rekenkan Bible no.
Her latest book deals with pollution.,Ne nhoma a aba foforo no ka efĩ ho asɛm.
Can you pass me the olives?,So wubetumi de ngodua no afa me?
How long has she been sick?,Ɔyaree bere tenten bɛn?
I have no special skill.,Minni nimdeɛ soronko biara.
Kwasi looks dreadful.,Kwasi te sɛ nea ne ho yɛ hu.
Nobody can escape death.,Obiara ntumi nkwati owu.
Do you know where Kwasi hid?,Wunim baabi a Kwasi de ne ho siei?
Kwasi explained how he lost his money.,Kwasi kyerɛkyerɛɛ sɛnea ɔhweree ne sika no mu.
Kwasi and Abena said that they were leaving.,Kwasi ne Abena kae sɛ wɔrekɔ.
Leave it here.,Fa si ha.
I'm looking forward to seeing Kwasi.,Merehwɛ kwan sɛ mehu Kwasi.
I neither smoke nor drink.,Mennom sigaret ne nsa.
She couldn't take her eyes off him.,Wantumi anyi n'ani amfi ne so.
Restrain your impulses.,Hyɛ wo ho so.
This box weighs a ton. What's inside?,Adaka no mu yɛ du. Dɛn na ɛwɔ adaka yi mu?
What should I do if I'm attacked by a grizzly bear?,Dɛn na ɛsɛ sɛ meyɛ bere a aboa kɛse bi tow hyɛ me so no?
Did you watch TV last night?,So wohwɛɛ TV anadwo a etwaam no?
I tried to find out how many people really live in this town.,Mebɔɔ mmɔden sɛ mehu nnipa dodow a wɔte kurow yi mu ankasa.
This isn't my umbrella. It's someone else's.,"Eyi nyɛ me kyinii, ɛyɛ onipa foforo de."
I told them to stop.,Meka kyerɛɛ wɔn sɛ wonnyae.
Kwasi is the tallest boy in our class.,Kwasi yɛ abarimaa tenten sen obiara wɔ yɛn adesuakuw no mu.
Each student has his own desk.,Sukuuni biara wɔ n'ankasa pon.
I hope you like me.,Migye di sɛ wopɛ m'asɛm.
