id,english,twi,source
62,What about his girlfriend?,,verified_data
63,Kwaku wouldn't lie to me.,,verified_data
64,He doesn't know what to do with his money.,,verified_data
65,Kwaku needs to get some rest.,,verified_data
66,He always speaks to me when he meets me on the street.,,verified_data
67,Do you have anything to say regarding this?,,verified_data
68,"It seemed so real, but I guess it was just a crazy dream.",,verified_data
69,It's time for us to talk.,,verified_data
70,That's your problem.,,verified_data
71,I can ski.,,verified_data
72,He prefers not to talk about it.,,verified_data
73,She looks a lot like her mother.,,verified_data
74,I fell into a hole.,,verified_data
75,A square has four sides.,,verified_data
76,Come over here and give me a kiss.,,verified_data
77,Kwaku recognized me.,,verified_data
78,I am not sure whether I will be able to come with you.,,verified_data
79,Try us again next Monday.,,verified_data
80,Which of the two ways do you choose?,,verified_data
81,That's just a waste of taxpayer money.,,verified_data
82,Turn on the gas.,,verified_data
83,I'll see you in my dreams.,,verified_data
84,Are they in Paris?,,verified_data
85,They decided to put an end to the discussion.,,verified_data
86,I bought him a magazine.,,verified_data
87,The patient got better little by little.,,verified_data
88,Let's not waste what little time we have.,,verified_data
89,I tried to get good marks.,,verified_data
90,He wanted to be in the newspapers.,,verified_data
91,Kwaku took the bus to school.,,verified_data
92,All you have to do is do your best.,,verified_data
93,What language do they speak in Switzerland?,,verified_data
94,Kwaku peeked in the window and saw Abena and John kissing.,,verified_data
95,"As soon as I can figure out how to send money, I'll send you some.",,verified_data
96,I like her very much.,,verified_data
97,There are a lot of bridges in this city.,,verified_data
98,I must've been drugged.,,verified_data
99,I thought it would be best if you told Kwaku yourself.,,verified_data
100,Why can't he play tennis today?,,verified_data
101,The early bird gets the worm.,,verified_data
102,I don't even know where Kwaku is now.,,verified_data
103,We need the money.,,verified_data
104,Almost three thousand people died.,,verified_data
105,Both of my parents aren't alive.,,verified_data
106,Why doesn't Kwaku talk?,,verified_data
107,"Kwaku can remember the chords to the song, but can't remember all the lyrics.",,verified_data
108,They speak Spanish in Colombia.,,verified_data
109,We'll notify Kwaku.,,verified_data
110,We all knew about it.,,verified_data
111,The prime minister fell into the Danube and drowned.,,verified_data
112,Kwaku was sad and lonely.,,verified_data
113,I want you to talk to Kwaku.,,verified_data
114,Kwaku decided to stay until 2:30.,,verified_data
115,The surviving refugees longed for freedom.,,verified_data
116,We're leaving now.,,verified_data
117,It's raining today. Where is my umbrella?,,verified_data
118,I don't have time to be sick.,,verified_data
119,The only place Kwaku has ever wanted to live is Boston.,,verified_data
120,Her son's death broke Abena's heart.,,verified_data
121,He has had a long teaching career.,,verified_data
122,The bus has just left.,,verified_data
123,Don't leave me.,,verified_data
124,"Hang on, Kwaku.",,verified_data
125,Kwaku is here in Boston with me.,,verified_data
126,I'm your sister.,,verified_data
127,Everyone had come except you.,,verified_data
128,The soldier sacrificed himself to save his friend's life.,,verified_data
129,Where do I pay for the gas?,,verified_data
130,He loves going to the theater.,,verified_data
131,I'm not tired at all.,,verified_data
132,The theory is too abstract for me.,,verified_data
133,"I was nervous at first, but gradually got more relaxed.",,verified_data
134,I'd rather not eat right now.,,verified_data
135,Fever indicates sickness.,,verified_data
136,People do stupid things when they're angry.,,verified_data
137,Kwaku is really upset.,,verified_data
138,I like him not because he is kind but because he is honest.,,verified_data
139,"The instant he opened the door, he smelt something burning.",,verified_data
140,She didn't send me any letter.,,verified_data
141,Kwaku can't move as quickly as Abena can.,,verified_data
142,I know one thing we could do that might be fun.,,verified_data
143,Science is too hard.,,verified_data
144,Kwaku didn't mean any harm.,,verified_data
145,I didn't hang up on you.,,verified_data
146,That isn't Kwaku's bicycle.,,verified_data
147,I don't know what kind of person he is.,,verified_data
148,I just want a straight answer. Nothing more.,,verified_data
149,Kwaku ripped you off.,,verified_data
150,Kwaku should be back by 2:30.,,verified_data
151,Do you have a crush on Abena?,,verified_data
152,He said he didn't like this.,,verified_data
153,Why did I not know this?,,verified_data
154,I wish to go to Paris to study art.,,verified_data
155,Did you get it?,,verified_data
156,He carried out his mission very well.,,verified_data
157,In order to qualify for the homestay you must have an interview with the sponsors.,,verified_data
158,When was the last time you cried?,,verified_data
159,Every even number is the sum of two primes.,,verified_data
160,Even intelligent people are sometimes absent-minded.,,verified_data
161,The engine wouldn't start.,,verified_data
162,Kwaku can't control his children.,,verified_data
163,I'll ask when the train will get in.,,verified_data
164,Something has happened to this clock.,,verified_data
165,Now we can all relax.,,verified_data
166,Can you walk with your eyes closed?,,verified_data
167,You look European.,,verified_data
168,Kwaku loosened his collar.,,verified_data
169,I have to mow the lawn once a week.,,verified_data
170,I need to learn French.,,verified_data
171,Kwaku served two months in jail for drunken driving.,,verified_data
172,Kwaku wanted to spend the rest of his life in America.,,verified_data
173,This is not true.,,verified_data
174,Never let me go.,,verified_data
175,Kwaku should do the same.,,verified_data
176,I am listening to a song.,,verified_data
177,He's sitting on the fence.,,verified_data
178,Kwaku rinsed the shampoo out of his hair.,,verified_data
179,Please sign your name on the contract.,,verified_data
180,Some people keep rare animals as pets.,,verified_data
181,I think it will be fine.,,verified_data
182,I barely have enough money for groceries.,,verified_data
183,Don't slam the door.,,verified_data
184,Kwaku spilled his drink.,,verified_data
185,What do you want me to say?,,verified_data
186,You should write down whatever seems to be important.,,verified_data
187,Kwaku died just a few hours after Abena died.,,verified_data
188,We associate the name of Einstein with the theory of relativity.,,verified_data
189,"Since I was tired, I took a nap.",,verified_data
190,Does Kwaku like Abena?,,verified_data
191,Who did you see?,,verified_data
192,Kwaku remembered all the details.,,verified_data
193,I got up early to catch the first train.,,verified_data
194,My grandpa believes that the moon landing was a hoax.,,verified_data
195,Kwaku is the person to ask.,,verified_data
196,Kwaku faces a dilemma.,,verified_data
197,Kwaku goes to church on Sunday morning.,,verified_data
198,I wanna go to Japan.,,verified_data
199,This isn't fair.,,verified_data
200,He's not as strong as before.,,verified_data
201,"In spite of the fact that she's rich, she says she's poor.",,verified_data
202,Are you closer to your mother or to your father?,,verified_data
203,Kwaku did a good job.,,verified_data
204,I'm a bit drunk. I think I should stop drinking now.,,verified_data
205,The man you saw in my office yesterday is from Belgium.,,verified_data
206,You are not to leave this room without my permission.,,verified_data
207,We saw another ship far ahead.,,verified_data
208,Please give my regards to your father.,,verified_data
209,Don't you want me to keep it?,,verified_data
210,Kwaku and Abena are both present.,,verified_data
211,The king is coming.,,verified_data
212,She was on the verge of crying.,,verified_data
213,I don't have any money at all.,,verified_data
214,Kwaku didn't know Abena was dating John.,,verified_data
215,Put it over there.,,verified_data
216,We persuaded him not to go.,,verified_data
217,"Hey, you're not Kwaku.",,verified_data
218,Kwaku knows Abena pretty well.,,verified_data
219,Kwaku took his socks off.,,verified_data
220,I learned a lot this week.,,verified_data
221,I thought you were good at math.,,verified_data
222,"Turn on the radio, please.",,verified_data
223,I want to know how you know that.,,verified_data
224,It was difficult to persuade him to change his mind.,,verified_data
225,Is everybody happy?,,verified_data
226,"At last, she solved the problem.",,verified_data
227,We have something very important that we need to discuss.,,verified_data
228,We'll meet at 3:00 p.m.,,verified_data
229,Don't leave the fire unattended.,,verified_data
230,I ran into a deer.,,verified_data
231,I'm very busy so don't count on me.,,verified_data
232,They help us.,,verified_data
233,Have you ever milked a cow?,,verified_data
234,I am injured.,,verified_data
235,Did you know that Kwaku got married last week?,,verified_data
236,The teacher scolded the student for no reason.,,verified_data
237,I know Kwaku was unhappy.,,verified_data
238,They often say that life is short.,,verified_data
239,He built hospitals and helped the people of Africa improve their lives.,,verified_data
240,You don't have to worry about funds.,,verified_data
241,Does your stomach hurt?,,verified_data
242,I can't believe Kwaku isn't here.,,verified_data
243,This girl is the most intelligent.,,verified_data
244,Here's a problem for you.,,verified_data
245,"He isn't here, is he?",,verified_data
246,The price of coffee has come down.,,verified_data
247,Kwasi thought about Abena a lot.,,verified_data
248,The boss had to advance him some money.,,verified_data
249,Non-members pay an additional 50 dollars.,,verified_data
250,What language is spoken in Egypt?,,verified_data
251,This is what I can do for you.,,verified_data
252,You are both in the wrong.,,verified_data
253,Dad painted the walls white.,,verified_data
254,Here I am again.,,verified_data
255,Kwasi explained it to Abena very carefully.,,verified_data
256,Don't touch the flowers.,,verified_data
257,He isn't able to drive a car.,,verified_data
258,The faucet is dripping.,,verified_data
259,She pleaded with him to not leave.,,verified_data
260,Do you know what he did?,,verified_data
261,Even the richest man cannot buy everything.,,verified_data
262,Kyiv is the capital of Ukraine.,,verified_data
263,Kwasi has a private jet.,,verified_data
264,Kwasi has two girlfriends who don't know about each other.,,verified_data
265,Kwasi needs a change of scenery.,,verified_data
266,She is on a diet to lose weight.,,verified_data
267,She was stupid to make such a mistake.,,verified_data
268,We never go to bed before midnight.,,verified_data
269,Those are mine.,,verified_data
270,They kidnapped me.,,verified_data
271,I think what you're doing is dangerous.,,verified_data
272,I love your dress.,,verified_data
273,"Five gallons of regular, please.",,verified_data
274,His explanation that a solution would take time didn't satisfy anyone.,,verified_data
275,I think I still have time for another cup of coffee.,,verified_data
276,He told his mother that he would study the next day.,,verified_data
277,My driving instructor says I should be more patient.,,verified_data
278,People living in this area are dying because of the lack of water.,,verified_data
279,We were born on the same day.,,verified_data
280,My nose is bleeding.,,verified_data
281,Kwasi is unscrupulous.,,verified_data
282,"Being poor, he can't buy it.",,verified_data
283,He arrived after the bell rang.,,verified_data
284,The grass is always greener on the other side of the fence.,,verified_data
285,She met him this morning.,,verified_data
286,I've clean forgotten.,,verified_data
287,The film was inspired by the novel of the same title.,,verified_data
288,What I need is another cup of coffee.,,verified_data
289,It's right in front of your eyes.,,verified_data
290,I'll be here when you get back.,,verified_data
291,I'd like to think so.,,verified_data
292,The results were good.,,verified_data
293,Kwasi is young and strong.,,verified_data
294,Kwasi isn't married anymore.,,verified_data
295,Kwasi is taking the day off today.,,verified_data
296,Most children like to jump rope.,,verified_data
297,I couldn't have done this without you.,,verified_data
298,They are watching what's happening closely.,,verified_data
299,Don't tell me to relax.,,verified_data
300,When do you usually get up?,,verified_data
301,"May I go with you? ""Of course.""",,verified_data
302,There's no danger.,,verified_data
303,That's the worst thing that could possibly happen.,,verified_data
304,I cannot disclose any information about the informant.,,verified_data
305,Kwasi thought that Abena would like to go to Boston to see John.,,verified_data
306,She has not come here yet.,,verified_data
307,Kwasi and Abena adopted John.,,verified_data
308,He betrayed his friends for money.,,verified_data
309,What you are saying does not make sense.,,verified_data
310,Dry wood burns well.,,verified_data
311,"Yesterday at this time, we were at the movie theater.",,verified_data
312,Read the story aloud.,,verified_data
313,I heard that Kwasi is going to Boston.,,verified_data
314,A massive flood paralyzed the local transportation network.,,verified_data
315,He dyed his hair black.,,verified_data
316,He was underwater for three minutes.,,verified_data
317,When did they go?,,verified_data
318,What's Kwasi's shoe size?,,verified_data
319,Who is the tallest of the five?,,verified_data
320,No one believed me at first.,,verified_data
321,The dog is smart.,,verified_data
322,I don't care for wine.,,verified_data
323,Kwasi is a real gentleman.,,verified_data
324,I assure you this is the real thing.,,verified_data
325,Let's wait for another 5 minutes.,,verified_data
326,It was difficult for us to decide which one to buy.,,verified_data
327,I love the fact that you always seem to care so much.,,verified_data
328,It's quite possible.,,verified_data
329,We meet every Monday night.,,verified_data
330,His aunt looks young.,,verified_data
331,The almond trees are in bloom.,,verified_data
332,Mercury is the planet nearest to the sun.,,verified_data
333,You have a tendency to talk too fast.,,verified_data
334,This is the best restaurant I know of.,,verified_data
335,There isn't anyone here.,,verified_data
336,I'll reward you.,,verified_data
337,She was very rude to him.,,verified_data
338,People shouldn't abuse animals.,,verified_data
339,I can't do that without a little help.,,verified_data
340,She is carrying a backpack on her back.,,verified_data
341,Our office is located in the center of the town.,,verified_data
342,"The Democrats haven't decided on their candidates yet, but in any case they're sure to lose.",,verified_data
343,Kwasi is reading the Bible.,,verified_data
344,Her latest book deals with pollution.,,verified_data
345,Can you pass me the olives?,,verified_data
346,How long has she been sick?,,verified_data
347,I have no special skill.,,verified_data
348,Kwasi looks dreadful.,,verified_data
349,Nobody can escape death.,,verified_data
350,Do you know where Kwasi hid?,,verified_data
351,Kwasi explained how he lost his money.,,verified_data
352,Kwasi and Abena said that they were leaving.,,verified_data
353,Leave it here.,,verified_data
354,I'm looking forward to seeing Kwasi.,,verified_data
355,I neither smoke nor drink.,,verified_data
356,She couldn't take her eyes off him.,,verified_data
357,Restrain your impulses.,,verified_data
358,This box weighs a ton. What's inside?,,verified_data
359,What should I do if I'm attacked by a grizzly bear?,,verified_data
360,Did you watch TV last night?,,verified_data
361,I tried to find out how many people really live in this town.,,verified_data
362,This isn't my umbrella. It's someone else's.,,verified_data
363,I told them to stop.,,verified_data
364,Kwasi is the tallest boy in our class.,,verified_data
365,Each student has his own desk.,,verified_data
366,I hope you like me.,,verified_data
367,It's time to go home.,,verified_data
368,Spanish is spoken in Mexico.,,verified_data
369,The dog ran after the cat.,,verified_data
370,She lives in a large house.,,verified_data
371,What time do you get up on Sundays?,,verified_data
372,I often look up words in that dictionary.,,verified_data
373,Kwasi died from TB.,,verified_data
374,This movie is highly controversial.,,verified_data
375,I persuaded her to make herself comfortable.,,verified_data
376,I'd appreciate it.,,verified_data
377,Here he is!,,verified_data
378,I'm not going to tell you my name.,,verified_data
379,Hold me close.,,verified_data
380,Please make five copies of this document.,,verified_data
381,He was young and innocent.,,verified_data
382,Don't be rude.,,verified_data
383,I have nothing to do this afternoon.,,verified_data
384,Kwasi contacted Abena.,,verified_data
385,I really want to spend some time alone with Kwasi.,,verified_data
386,These green leaves turn red or yellow in autumn.,,verified_data
387,Many wives complain about high prices.,,verified_data
388,You're a good man.,,verified_data
389,Are you going to the party today?,,verified_data
390,Kwasi is sitting by the campfire.,,verified_data
391,Have you finished your Christmas shopping?,,verified_data
392,Let's see who wins!,,verified_data
393,Are you interested in politics?,,verified_data
394,"Come on, let's try it.",,verified_data
395,No words can express how amazing you are.,,verified_data
396,He is anything but a fool.,,verified_data
397,"Hey, where are you going?",,verified_data
398,All he wanted was time to finish his painting.,,verified_data
399,I don't want to be your boyfriend.,,verified_data
400,He will defeat them.,,verified_data
401,Where are we exactly?,,verified_data
402,He cut down a tree in his garden.,,verified_data
403,Kwasi could hear his name being called.,,verified_data
404,There were 30 members in all.,,verified_data
405,I wonder where Kwasi is and who he's with.,,verified_data
406,How deep is the hole?,,verified_data
407,We have a great school library.,,verified_data
408,"Lemon tea without sugar, please.",,verified_data
409,Don't stay in Boston.,,verified_data
410,She is beautiful.,,verified_data
411,You should read books written in English.,,verified_data
412,I called you three hours ago.,,verified_data
413,The day will soon come when we will be able to predict earthquakes.,,verified_data
414,May I speak to you in private?,,verified_data
415,He got interested in the story.,,verified_data
416,Selena Gomez is of Mexican and Italian ancestry.,,verified_data
417,Kwasi used to write songs.,,verified_data
418,Why aren't you here?,,verified_data
419,Kwasi came upstairs.,,verified_data
420,Don't waste your money.,,verified_data
421,"As far as I know, he is not married.",,verified_data
422,Kwasi did fifty sit-ups.,,verified_data
423,Franklin Roosevelt became president in 1933.,,verified_data
424,I can't figure out how to operate this machine.,,verified_data
425,We still have the same problem.,,verified_data
426,She was advised by him to go to the police.,,verified_data
427,"Compared to those around him, he looked really happy.",,verified_data
428,It's like a drug.,,verified_data
429,It's not going to rain tonight.,,verified_data
430,Kwasi has a drawer full of USB cables.,,verified_data
431,I like President Obama.,,verified_data
432,Don't pull my leg!,,verified_data
433,I have no idea how it works.,,verified_data
434,We expect a very cold winter this year.,,verified_data
435,I'm not sad.,,verified_data
436,She returned the book to the library.,,verified_data
437,Everything happened very quickly and it was all very strange.,,verified_data
438,He caused me to miss the bus.,,verified_data
439,"I didn't need to do that, did I?",,verified_data
440,You must be Canadian.,,verified_data
441,Kwasi was bewildered by the change.,,verified_data
442,This place is beautiful.,,verified_data
443,I'm not your son.,,verified_data
444,Don't make faces.,,verified_data
445,Kwasi is glad the school year is finally over.,,verified_data
446,It's been so many years.,,verified_data
447,I'll pay extra.,,verified_data
448,I saw the students cleaning their classroom after school.,,verified_data
449,Thanks for sharing this with me.,,verified_data
450,You can do whatever you like.,,verified_data
451,We ordered too much food.,,verified_data
452,I'd rather stay home this weekend.,,verified_data
453,Did you hear about Kwasi's promotion?,,verified_data
454,Hunting is prohibited in national parks.,,verified_data
455,We all love Kwasi.,,verified_data
456,Kwasi has nothing to do with this.,,verified_data
457,I suppose that she was happy then.,,verified_data
458,Giraffes have very long necks.,,verified_data
459,Kwasi knows he can count on Abena.,,verified_data
460,"You don't speak French by any chance, do you?",,verified_data
461,Kwasi is still just as friendly as he used to be.,,verified_data
462,"When Kwasi leaves at night, he turns on the burglar alarm.",,verified_data
463,You can't go there.,,verified_data
464,You are free to go.,,verified_data
465,Her mother was busy cooking dinner.,,verified_data
466,We gladly accept your offer.,,verified_data
467,I bought it for you.,,verified_data
468,Kwasi died in a plane crash.,,verified_data
469,Kwasi is going down the stairs.,,verified_data
470,The snow melted in the sun.,,verified_data
471,Kwasi asked for a discount.,,verified_data
472,The princess disguised herself as a simple shepherdess.,,verified_data
473,Kwasi doesn't trust strangers.,,verified_data
474,We can depend on her to help us.,,verified_data
475,I am too short.,,verified_data
476,Are you able to solve it?,,verified_data
477,He shook thousands of hands.,,verified_data
478,It is a little after a quarter to eleven.,,verified_data
479,My shoes are bigger than yours.,,verified_data
480,"I was able to find the street, but I couldn't find her house.",,verified_data
481,I missed the bus.,,verified_data
482,Is there anything for me?,,verified_data
483,I hate myself and I want to die.,,verified_data
484,Kwasi's car ran out of gas.,,verified_data
485,What age was she when she first drove a car?,,verified_data
486,I want you to stay with me.,,verified_data
487,What prevented you from coming here yesterday?,,verified_data
488,We could write a book.,,verified_data
489,Kwasi couldn't find Abena even though he said he looked just about everywhere.,,verified_data
490,I know that you're a teacher.,,verified_data
491,The supermarket was relatively empty for that time of day.,,verified_data
492,I have difficulty concentrating.,,verified_data
493,I soon learned how to swim.,,verified_data
494,Kwasi wants to know what to do with all the stuff you left in his garage.,,verified_data
495,What I have in my hand is a fossil seashell.,,verified_data
496,"I just shot someone, I think.",,verified_data
497,"I don't know what Kwasi knows, but Kwasi knows what I know.",,verified_data
498,The sun doesn't shine at night.,,verified_data
499,I did that all morning.,,verified_data
500,He wants to study music and dance.,,verified_data
501,This book belongs to you.,,verified_data
502,Tell me what you have in mind.,,verified_data
503,He stayed up late last night.,,verified_data
504,Kwasi has two choices.,,verified_data
505,I am going to see him today.,,verified_data
506,He insulted me without reason.,,verified_data
507,This book is too difficult for me to read.,,verified_data
508,It is in this room that our meeting will be held.,,verified_data
509,Don't play dumb. I know you.,,verified_data
510,The doors are shut.,,verified_data
511,How much longer will it take for the tub to fill?,,verified_data
512,That is her car.,,verified_data
513,The girls are playing beach volleyball.,,verified_data
514,"Which shirt do you like more, the red one or the blue one?",,verified_data
515,"Better to die on our feet, than to live on our knees.",,verified_data
516,I can't tell you yet.,,verified_data
517,Would you care for more cookies?,,verified_data
518,The needs of the many outweigh the needs of the few.,,verified_data
519,"You have to do it, whether you like it or not.",,verified_data
520,I feel like going to the movies.,,verified_data
521,Our problems are nothing compared to Kwasi's.,,verified_data
522,I don't want to lose Abena.,,verified_data
523,Kwasi's enthusiasm is contagious.,,verified_data
524,You're kind of cute when you're mad.,,verified_data
525,You're part of this.,,verified_data
526,Do you want to go get something to eat?,,verified_data
527,Do they live with you?,,verified_data
528,He hid behind the black car.,,verified_data
529,He doesn't know what's going on.,,verified_data
530,Neither team played well in the game.,,verified_data
531,I think he ate about 10 oysters.,,verified_data
532,"The older I get, the more clearly I remember things that never happened.",,verified_data
533,Kwasi believes me.,,verified_data
534,Kwasi abandoned the hope of becoming an actor.,,verified_data
535,The old lady got down from the bus.,,verified_data
536,Were you busy yesterday?,,verified_data
537,It was not my intention.,,verified_data
538,"Frankly speaking, I don't like you.",,verified_data
539,They've got everything under control.,,verified_data
540,Ring the bell when you want me.,,verified_data
541,Kwasi told me to give you anything you want.,,verified_data
542,Don't be so reserved.,,verified_data
543,I forgot what I was going to say.,,verified_data
544,He has four children to provide for.,,verified_data
545,It's just that I don't want to die today.,,verified_data
546,I'll be back soon.,,verified_data
547,He's completely crazy.,,verified_data
548,She married him when she was 20.,,verified_data
549,We gather together every Friday.,,verified_data
550,Abena was a waitress.,,verified_data
551,It's difficult to get the car going on cold mornings.,,verified_data
552,There isn't a grain of truth in what he says.,,verified_data
553,She did it against her will.,,verified_data
554,He could speak French.,,verified_data
555,This is a stressful situation.,,verified_data
556,She had no sooner read his letter than she tore it up.,,verified_data
557,The meeting lasted until 5.,,verified_data
558,I had no doubt that Kwasi would do what we asked.,,verified_data
559,Your assistance is indispensable for us.,,verified_data
560,I don't believe in fairy tales.,,verified_data
561,She was made to wait for over an hour.,,verified_data
562,I love it.,,verified_data
563,Their house is far from the station.,,verified_data
564,We discussed our plans for the summer holidays.,,verified_data
565,The war began three years later.,,verified_data
566,The prize will go to the best student.,,verified_data
567,Kwame has long hair and wears glasses.,,verified_data
568,Kwame doesn't believe anything Abena says.,,verified_data
569,The market is big.,,verified_data
570,I don't want to cause any more trouble.,,verified_data
571,It seems likely.,,verified_data
572,Are you going to sit with me?,,verified_data
573,It would be stupid to say yes.,,verified_data
574,Thunder indicates that a storm is near.,,verified_data
575,Could I borrow a pencil?,,verified_data
576,He had reached the limits of his patience.,,verified_data
577,We can pay 200 dollars at most.,,verified_data
578,This boy gives us a lot of trouble.,,verified_data
579,I hope Kwame gets here on time.,,verified_data
580,Honesty will pay in the long run.,,verified_data
581,I'm in Portugal.,,verified_data
582,Let's hope Kwame doesn't walk in.,,verified_data
583,I enjoyed myself at the party last night.,,verified_data
584,I will answer within three days.,,verified_data
585,We shouldn't have come.,,verified_data
586,I'm very fat.,,verified_data
587,I take it for granted that people are honest.,,verified_data
588,That was probably what influenced their decision.,,verified_data
589,Coffee prices have jumped almost 50% in six months.,,verified_data
590,The man lost his way in the woods.,,verified_data
591,We played baseball yesterday.,,verified_data
592,When will he come?,,verified_data
593,I like fruit.,,verified_data
594,What other choice did I have?,,verified_data
595,Kwame is complaining to the manager.,,verified_data
596,I know what has happened.,,verified_data
597,I don't trust you anymore.,,verified_data
598,Kwame asked Abena who had given her the picture.,,verified_data
599,This was the most interesting book that she had ever read.,,verified_data
600,I know her well.,,verified_data
601,Kwame didn't know when Abena was planning to go to Boston.,,verified_data
602,"Give me a drink, please.",,verified_data
603,I have to go even if it rains.,,verified_data
604,"Thanks to him, I could get a job.",,verified_data
605,Everyone smiles in the same language.,,verified_data
606,Kwame left the house shortly after Abena left.,,verified_data
607,That's enough for today. I'm tired.,,verified_data
608,I'd prefer to die rather than see you crying.,,verified_data
609,He shared his soup with me.,,verified_data
610,You must live up to your principles.,,verified_data
611,Felicja likes to watch TV.,,verified_data
612,People laughed at him.,,verified_data
613,I thought for a moment Kwame was really going to tell Abena about what happened.,,verified_data
614,He stood with his hands in his pockets.,,verified_data
615,I'd rather not go out today.,,verified_data
616,The plan announced Tuesday calls for $54 billion in tax cuts.,,verified_data
617,The one who has everything can lose everything.,,verified_data
618,I can give you something for your pain.,,verified_data
619,Kwame looks terrified.,,verified_data
620,Take an aspirin.,,verified_data
621,He must have been home then.,,verified_data
622,Where is the mailbox?,,verified_data
623,You are responsible for what you have done.,,verified_data
624,I don't know how old Kwame is now.,,verified_data
625,I've never met anyone like you before.,,verified_data
626,Sometimes you don't need to speak the same language in order to understand each other.,,verified_data
627,"Up to now, we've never had this problem.",,verified_data
628,He is very good at playing violin.,,verified_data
629,"Thanks for the advice, Kwame.",,verified_data
630,We have been studying English for three years.,,verified_data
631,I'm a little busy now.,,verified_data
632,He gave me his phone number.,,verified_data
633,Kwame isn't happy about what's happened.,,verified_data
634,I thought it was Kwame.,,verified_data
635,Did she mention the results of the exam?,,verified_data
636,I like to have fun.,,verified_data
637,Kwame has freckles.,,verified_data
638,My joints ache.,,verified_data
639,Shall I go on?,,verified_data
640,We have arrived safe and sound.,,verified_data
641,Where does this flag come from?,,verified_data
642,"When the fire broke out, he was sound asleep.",,verified_data
643,He can speak French well.,,verified_data
644,Lock the door!,,verified_data
645,Kwame sat on a park bench.,,verified_data
646,Please wait a little while longer.,,verified_data
647,She felt like dancing.,,verified_data
648,I want to read as many English books as possible this year.,,verified_data
649,How long have you played soccer?,,verified_data
650,It's starting to rain.,,verified_data
651,We have little chance of winning.,,verified_data
652,Music is a language understood by all humans.,,verified_data
653,We'll lose everything.,,verified_data
654,I love the flowers you sent me.,,verified_data
655,His words are meaningless.,,verified_data
656,He sat down and read the paper.,,verified_data
657,"Normally, we don't do that in Spain.",,verified_data
658,What is the purpose of education?,,verified_data
659,Kwame and Abena are playing battleship.,,verified_data
660,Lots of my friends are going there tonight.,,verified_data
661,Did you win the trophy?,,verified_data
662,Did you forget to do your homework?,,verified_data
663,Kwame drops his kids off at school on his way to work every day.,,verified_data
664,I felt somebody pat me on the shoulder.,,verified_data
665,Kwame's hunch was right.,,verified_data
666,"Which is the capital of the United States, Washington or New York?",,verified_data
667,Maybe it's too late.,,verified_data
668,What should I do if my wife snores?,,verified_data
669,How do I get my dog to eat dog food?,,verified_data
670,Kwame changed the sheets on the bed.,,verified_data
671,Do you think she's attractive?,,verified_data
672,Don't mess with me.,,verified_data
673,Kwame doesn't exactly have an airtight alibi.,,verified_data
674,What's it like?,,verified_data
675,Kwame was surprised that Abena showed up.,,verified_data
676,What was it that he was looking for?,,verified_data
677,There's blood in the water.,,verified_data
